Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
3.6. - 10.6.,Rhodos,8576,Electra Tours,All Inclusive,11 950 Kč,Loutanis,Praha,FM
1.6. - 4.6.,Rhodos,21860,Electra Tours,Snídaně,9 750 Kč,Nirvana Beach,Praha,FM
1.6. - 15.6.,Rhodos,21860,Electra Tours,Snídaně,15 150 Kč,Nirvana Beach,Praha,FM
2.6. - 9.6.,Rhodos,21860,Electra Tours,Snídaně,12 050 Kč,Nirvana Beach,Brno,FM
2.6. - 16.6.,Rhodos,21860,Electra Tours,Snídaně,15 150 Kč,Nirvana Beach,Brno,FM
3.6. - 10.6.,Rhodos,21860,Electra Tours,Snídaně,11 390 Kč,Nirvana Beach,Praha,FM
4.6. - 18.6.,Rhodos,21860,Electra Tours,Snídaně,15 150 Kč,Nirvana Beach,Praha,FM
5.6. - 12.6.,Rhodos,21860,Electra Tours,Snídaně,12 050 Kč,Nirvana Beach,Brno,FM
5.6. - 19.6.,Rhodos,21860,Electra Tours,Snídaně,15 150 Kč,Nirvana Beach,Brno,FM
6.6. - 13.6.,Rhodos,21860,Electra Tours,Snídaně,11 490 Kč,Nirvana Beach,Brno,FM
6.6. - 20.6.,Rhodos,21860,Electra Tours,Snídaně,15 350 Kč,Nirvana Beach,Brno,FM
24.5. - 4.6.,Kréta,8599,Electra Tours,All Inclusive,18 990 Kč,Malia Bay,Praha,FM
28.5. - 4.6.,Kréta,8599,Electra Tours,All Inclusive,14 250 Kč,Malia Bay,Praha,FM
1.6. - 4.6.,Kréta,8599,Electra Tours,All Inclusive,11 590 Kč,Malia Bay,Praha,Last minute
6.9. - 17.9.,Kréta,8599,Electra Tours,All Inclusive,22 190 Kč,Malia Bay,Praha,FM
7.9. - 10.9.,Kréta,8599,Electra Tours,All Inclusive,12 450 Kč,Malia Bay,Praha,Last minute
7.9. - 21.9.,Kréta,8599,Electra Tours,All Inclusive,25 790 Kč,Malia Bay,Brno,FM
10.9. - 17.9.,Kréta,8599,Electra Tours,All Inclusive,17 090 Kč,Malia Bay,Praha,FM
10.9. - 17.9.,Kréta,8599,Electra Tours,All Inclusive,17 090 Kč,Malia Bay,Brno,FM
10.9. - 24.9.,Kréta,8599,Electra Tours,All Inclusive,24 390 Kč,Malia Bay,Praha,FM
13.9. - 17.9.,Kréta,8599,Electra Tours,All Inclusive,13 650 Kč,Malia Bay,Praha,Last minute
14.9. - 28.9.,Kréta,8599,Electra Tours,All Inclusive,23 750 Kč,Malia Bay,Brno,FM
21.5. - 31.5.,Rhodos,7942,Electra Tours,All Inclusive,21 390 Kč,Avra Beach,Praha,FM
21.5. - 3.6.,Rhodos,7942,Electra Tours,All Inclusive,25 750 Kč,Avra Beach,Praha,FM
25.5. - 31.5.,Rhodos,7942,Electra Tours,All Inclusive,16 850 Kč,Avra Beach,Praha,FM
25.5. - 3.6.,Rhodos,7942,Electra Tours,All Inclusive,21 190 Kč,Avra Beach,Praha,FM
25.5. - 8.6.,Rhodos,7942,Electra Tours,All Inclusive,30 390 Kč,Avra Beach,Praha,FM
1.6. - 4.6.,Rhodos,7942,Electra Tours,All Inclusive,12 890 Kč,Avra Beach,Praha,FM
2.6. - 9.6.,Rhodos,7942,Electra Tours,All Inclusive,20 350 Kč,Avra Beach,Brno,FM
4.7. - 18.7.,Rhodos,7942,Electra Tours,All Inclusive,42 190 Kč,Avra Beach,Brno,FM
6.7. - 20.7.,Rhodos,7942,Electra Tours,All Inclusive,42 650 Kč,Avra Beach,Praha,FM
8.7. - 15.7.,Rhodos,7942,Electra Tours,All Inclusive,24 990 Kč,Avra Beach,Praha,FM
21.5. - 31.5.,Rhodos,21462,Electra Tours,All Inclusive,15 650 Kč,Kamari Beach,Praha,FM
21.5. - 3.6.,Rhodos,21462,Electra Tours,All Inclusive,18 250 Kč,Kamari Beach,Praha,FM
25.5. - 31.5.,Rhodos,21462,Electra Tours,All Inclusive,12 690 Kč,Kamari Beach,Praha,FM
25.5. - 3.6.,Rhodos,21462,Electra Tours,All Inclusive,15 290 Kč,Kamari Beach,Praha,FM
25.5. - 8.6.,Rhodos,21462,Electra Tours,All Inclusive,21 150 Kč,Kamari Beach,Praha,FM
1.6. - 4.6.,Rhodos,21462,Electra Tours,All Inclusive,11 290 Kč,Kamari Beach,Praha,Last minute
2.6. - 9.6.,Rhodos,21462,Electra Tours,All Inclusive,15 750 Kč,Kamari Beach,Brno,FM
3.6. - 10.6.,Rhodos,21462,Electra Tours,All Inclusive,14 950 Kč,Kamari Beach,Praha,FM
20.6. - 27.6.,Rhodos,21462,Electra Tours,All Inclusive,17 090 Kč,Kamari Beach,Brno,FM
21.6. - 25.6.,Rhodos,21462,Electra Tours,All Inclusive,13 390 Kč,Kamari Beach,Praha,Last minute
24.8. - 27.8.,Rhodos,7981,Electra Tours,All Inclusive,14 750 Kč,Blue Sea Beach Resort,Praha,Last minute
9.9. - 16.9.,Rhodos,7981,Electra Tours,All Inclusive,23 190 Kč,Blue Sea Beach Resort,Praha,FM
10.9. - 24.9.,Rhodos,7981,Electra Tours,All Inclusive,38 150 Kč,Blue Sea Beach Resort,Praha,Last minute
12.9. - 19.9.,Rhodos,7981,Electra Tours,All Inclusive,23 250 Kč,Blue Sea Beach Resort,Brno,FM
13.9. - 17.9.,Rhodos,7981,Electra Tours,All Inclusive,16 950 Kč,Blue Sea Beach Resort,Praha,Last minute
13.9. - 23.9.,Rhodos,7981,Electra Tours,All Inclusive,29 550 Kč,Blue Sea Beach Resort,Praha,FM
16.9. - 23.9.,Rhodos,7981,Electra Tours,All Inclusive,23 390 Kč,Blue Sea Beach Resort,Praha,FM
21.9. - 24.9.,Rhodos,7981,Electra Tours,All Inclusive,14 250 Kč,Blue Sea Beach Resort,Praha,Last minute
4.10. - 11.10.,Rhodos,7981,Electra Tours,All Inclusive,15 050 Kč,Blue Sea Beach Resort,Praha,FM
21.5. - 31.5.,Rhodos,29379,Electra Tours,All Inclusive,14 190 Kč,Happy Days,Praha,FM
21.5. - 31.5.,Rhodos,29379,Electra Tours,Polopenze,12 050 Kč,Happy Days,Praha,FM
21.5. - 3.6.,Rhodos,29379,Electra Tours,Polopenze,13 190 Kč,Happy Days,Praha,FM
21.5. - 3.6.,Rhodos,29379,Electra Tours,All Inclusive,15 990 Kč,Happy Days,Praha,FM
25.5. - 31.5.,Rhodos,29379,Electra Tours,All Inclusive,11 790 Kč,Happy Days,Praha,FM
25.5. - 31.5.,Rhodos,29379,Electra Tours,Polopenze,10 490 Kč,Happy Days,Praha,FM
25.5. - 3.6.,Rhodos,29379,Electra Tours,All Inclusive,13 590 Kč,Happy Days,Praha,FM
25.5. - 3.6.,Rhodos,29379,Electra Tours,Polopenze,11 690 Kč,Happy Days,Praha,FM
1.6. - 4.6.,Rhodos,29379,Electra Tours,Polopenze,9 590 Kč,Happy Days,Praha,Last minute
1.6. - 4.6.,Rhodos,29379,Electra Tours,All Inclusive,10 290 Kč,Happy Days,Praha,Last minute
3.6. - 10.6.,Zakynthos,32025,Electra Tours,Snídaně,14 890 Kč,Astir Palace,Praha,FM
3.6. - 10.6.,Zakynthos,32025,Electra Tours,Polopenze,17 050 Kč,Astir Palace,Praha,FM
3.6. - 10.6.,Zakynthos,32025,Electra Tours,All Inclusive,19 790 Kč,Astir Palace,Praha,FM
3.6. - 14.6.,Zakynthos,32025,Electra Tours,Snídaně,18 050 Kč,Astir Palace,Praha,FM
3.6. - 14.6.,Zakynthos,32025,Electra Tours,Polopenze,21 550 Kč,Astir Palace,Praha,FM
3.6. - 14.6.,Zakynthos,32025,Electra Tours,All Inclusive,26 050 Kč,Astir Palace,Praha,FM
6.6. - 13.6.,Zakynthos,32025,Electra Tours,Polopenze,17 290 Kč,Astir Palace,Brno,FM
6.6. - 13.6.,Zakynthos,32025,Electra Tours,Snídaně,15 090 Kč,Astir Palace,Brno,FM
